Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:46)
Fra:14 Mem:76.21M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.052
Fra:14 Mem:76.22M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.053
Fra:14 Mem:76.22M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.054
Fra:14 Mem:76.24M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.030
Fra:14 Mem:76.23M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.031
Fra:14 Mem:76.24M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Primary rib.007
Fra:14 Mem:76.23M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Curved eave panel.007
Fra:14 Mem:76.24M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eave silver edge.007
Fra:14 Mem:76.24M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.007
Fra:14 Mem:76.25M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance door.004
Fra:14 Mem:76.27M (Peak 79.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door glazing.004
